"X.chrom","start","end","name","n_frags","strand","n_weight","n_spanned","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category","flags","flag_counts","index","count"
"chr3",183097084,183107567,"unknown_circ_009685",2,"-",2,2,2,2,102,38,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","3__183097085__183107567",2
"chr11",111899568,111899619,"unknown_circ_006960",2,"-",3,3,3,3,42,178,"unknown",3,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","11__111899569__111899619",2
"chrX",154018228,154020560,"unknown_circ_005284",1,"-",1,1,1,1,94,40,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","X__154018229__154020560",1
"chr1",208266130,208270228,"unknown_circ_002779",1,"-",1,1,1,1,2,136,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__208266131__208270228",1
"chr1",229791123,229791258,"unknown_circ_008946",1,"+",1,1,1,1,8,16,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","1__229791124__229791258",1
"chr1",178252698,178269253,"unknown_circ_012437",1,"+",1,1,1,1,10,118,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__178252699__178269253",1
"chr18",9570154,9595151,"unknown_circ_003188",1,"-",1,1,1,1,34,90,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","18__9570155__9595151",1
"chr1",244976031,244976980,"unknown_circ_015533",1,"-",2,2,2,2,32,100,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__244976032__244976980",1
"chr15",72499068,72563445,"unknown_circ_003557",1,"-",1,1,1,1,20,42,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","15__72499069__72563445",1
"chr1",113464611,113471974,"unknown_circ_022627",1,"-",1,1,1,1,6,86,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__113464612__113471974",1
"chr13",24860995,24861081,"unknown_circ_001175",1,"-",1,1,1,1,50,68,"unknown",1,2,0,1,"GTAG","N/A","SHORT,WARN_EXT_2MM+","N/A","0","13__24860996__24861081",1
"chr5",56526672,56527148,"unknown_circ_006724",1,"+",1,1,1,1,16,86,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__56526673__56527148",1
"chr22",42606991,42607108,"unknown_circ_013494",2,"-",2,2,1,2,56,70,"unknown",2,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","22__42606992__42607108",2
"chr3",127325013,127325049,"unknown_circ_020793",1,"-",1,1,1,1,32,146,"unknown",1,1,0,1,"GTAG","N/A","SHORT,WARN_EXT_1MM","N/A","0","3__127325014__127325049",1
"chr6",149924403,149925918,"unknown_circ_012055",2,"-",2,2,2,2,102,24,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","6__149924404__149925918",2
"chr3",47139444,47147610,"unknown_circ_002103",3,"-",3,3,3,3,72,88,"unknown",3,0,0,1,"GTAG","N/A","","N/A","0","3__47139445__47147610",3
"chr17",29161165,29167799,"unknown_circ_020551",1,"+",1,1,1,1,114,12,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__29161166__29167799",1
"chr7",2402713,101273024,"unknown_circ_007977",1,"-",1,1,1,1,64,2,"unknown",1,2,0,1,"GTAG","N/A","HUGE,WARN_ALWAYS_BROKEN,WARN_EXT_2MM+","BROKEN_SEGMENTS","1","7__2402714__101273024",1
"chr14",93460235,93460316,"unknown_circ_014100",1,"+",1,1,1,1,58,152,"unknown",1,1,0,1,"GTAG","N/A","SHORT,WARN_EXT_1MM","N/A","0","14__93460236__93460316",1
"chr4",153268081,153333024,"unknown_circ_020748",1,"-",1,1,1,1,10,120,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","4__153268082__153333024",1
"chr16",66971939,66973261,"unknown_circ_018467",1,"+",1,1,1,1,50,86,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__66971940__66973261",1
"chr19",56172525,56179937,"unknown_circ_019332",1,"-",0.5,1,1,0.5,34,24,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","19__56172526__56179937",1
"chr17",16342640,16343017,"unknown_circ_011065",1,"+",1,1,1,1,126,18,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__16342641__16343017",1
"chr8",141810557,141874498,"unknown_circ_014042",1,"-",2,2,2,2,88,96,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","8__141810558__141874498",1
"chr5",68578716,68616407,"unknown_circ_017434",1,"-",1,1,1,1,98,24,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__68578717__68616407",1
"chr1",29418593,246611027,"unknown_circ_019292",1,"-",1,1,1,1,12,2,"unknown",1,0,1,1,"GTAG","N/A","HUGE,WARN_ALWAYS_BROKEN,WARN_EXT_1MM","BROKEN_SEGMENTS","1","1__29418594__246611027",1
"chr1",43915090,43915164,"unknown_circ_000014",1,"+",1,1,1,1,52,28,"unknown",1,1,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_BROKEN,WARN_EXT_1MM","BROKEN_SEGMENTS","1","1__43915091__43915164",1
"chr5",141371129,141391606,"unknown_circ_021403",1,"-",1,1,1,1,44,92,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__141371130__141391606",1
"chr11",85692787,85707972,"unknown_circ_017609",1,"-",0.5,1,1,0.5,22,54,"unknown",0.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","11__85692788__85707972",1
"chr14",35233976,35234018,"unknown_circ_014763",1,"-",1,1,1,1,140,42,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","14__35233977__35234018",1
"chr1",32495898,32499774,"unknown_circ_020612",1,"+",1,1,1,1,14,114,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__32495899__32499774",1
"chr16",69189773,69201088,"unknown_circ_022400",1,"+",1,1,1,1,76,48,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__69189774__69201088",1
"chr1",117948170,117984947,"unknown_circ_003145",1,"+",1,1,1,1,82,46,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__117948171__117984947",1
"chr1",214817899,214822170,"unknown_circ_009180",1,"+",2,2,2,2,24,114,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__214817900__214822170",1
"chr14",76349027,76368567,"unknown_circ_017522",1,"+",1,1,1,1,6,64,"unknown",1,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","1","14__76349028__76368567",1
"chr10",43287948,43287998,"unknown_circ_016815",1,"+",1,1,1,1,8,42,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","10__43287949__43287998",1
"chr16",68059317,68112421,"unknown_circ_004430",1,"+",1,1,1,1,100,26,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__68059318__68112421",1
"chr14",20811305,20811436,"unknown_circ_000099",86,"-",87,87,46,87,110,116,"unknown",87,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","14__20811306__20811436",86
"chr2",148730307,148733544,"unknown_circ_001566",5,"-",6.5,7,7,6.5,120,86,"unknown",6.5,0,0,1,"GTAG","N/A","WARN_ALWAYS_WARN","WARN_UNRESOLVED_LINSPLICE","1","2__148730308__148733544",5
"chr18",21644103,21649235,"unknown_circ_004680",2,"+",2,2,2,2,42,94,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","18__21644104__21649235",2
"chr15",85189445,85189492,"unknown_circ_014630",1,"+",1,1,1,1,144,36,"unknown",1,1,0,1,"GTAG","N/A","SHORT,WARN_EXT_1MM","N/A","0","15__85189446__85189492",1
"chr13",56756554,72359426,"unknown_circ_007140",1,"-",1,1,1,1,2,110,"unknown",1,1,2,1,"GTAG","N/A","HUGE,WARN_EXT_2MM+","N/A","0","13__56756555__72359426",1
"chr2",120934256,120935448,"unknown_circ_019377",2,"+",2,2,1,2,46,82,"unknown",2,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","2__120934257__120935448",2
"chr22",40825609,40827484,"unknown_circ_017650",1,"-",1,1,1,1,56,72,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","22__40825610__40827484",1
"chr22",30032739,30035201,"unknown_circ_012258",1,"+",2,2,2,2,132,132,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","22__30032740__30035201",1
"chr8",141577428,141577761,"unknown_circ_000117",1,"-",1,1,1,1,110,26,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","8__141577429__141577761",1
"chr1",43825701,43825768,"unknown_circ_000198",1,"+",1,1,1,1,16,54,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","1__43825702__43825768",1
"chr5",64747301,64769779,"unknown_circ_005273",4,"-",5,5,5,5,94,104,"unknown",5,0,0,1,"GTAG","N/A","","N/A","0","5__64747302__64769779",4
"chr3",136096501,136141886,"unknown_circ_012921",4,"-",4,4,1,4,68,68,"unknown",4,0,0,1,"GTAG","N/A","","N/A","0","3__136096502__136141886",4
"chr2",216269111,216269255,"unknown_circ_016181",1,"-",1,1,1,1,60,52,"unknown",1,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","2__216269112__216269255",1
"chr12",95139875,95142651,"unknown_circ_013113",2,"-",2,2,1,2,122,6,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","12__95139876__95142651",2
"chr2",72958135,72960247,"unknown_circ_000900",7,"-",7.5,9,8,7.5,54,62,"unknown",7.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","3","2__72958136__72960247",7
"chr1",150916395,150923957,"unknown_circ_007851",1,"+",1,1,1,1,80,56,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","1__150916396__150923957",1
"chr15",80412669,80415142,"unknown_circ_000288",21,"+",23,23,19,23,46,32,"unknown",23,0,0,1,"GTAG","N/A","","N/A","0","15__80412670__80415142",21
"chr17",25630392,25631937,"unknown_circ_019813",1,"+",1,1,1,1,22,108,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__25630393__25631937",1
"chr18",44617544,44623775,"unknown_circ_000451",1,"-",2,2,2,2,72,78,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","18__44617545__44623775",1
"chr14",23377541,23377577,"unknown_circ_018617",1,"-",0.5,1,1,0.5,96,34,"unknown",0.5,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_WARN","WARN_OUTSIDE_SPLICE_JUNCTION","1","14__23377542__23377577",1
"chr8",48877133,48889426,"unknown_circ_021171",1,"+",1,1,1,1,96,36,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","8__48877134__48889426",1
"chr18",56997922,56997997,"unknown_circ_000869",1,"-",2,2,2,2,70,146,"unknown",2,0,0,1,"GTAG","N/A","SHORT","N/A","0","18__56997923__56997997",1
"chr8",69069556,69104760,"unknown_circ_008464",1,"+",1,1,1,1,44,84,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","8__69069557__69104760",1
"chr10",1118055,1132297,"unknown_circ_015283",4,"+",5,5,5,5,124,62,"unknown",5,0,0,1,"GTAG","N/A","","N/A","0","10__1118056__1132297",4
"chr13",53227074,53227238,"unknown_circ_009622",2,"+",1,2,1,1,8,28,"unknown",1,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","2","13__53227075__53227238",2
"chr15",72637786,72640475,"unknown_circ_011135",1,"-",2,2,2,2,112,16,"unknown",2,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","15__72637787__72640475",1
"chr10",16794537,16796988,"unknown_circ_008968",2,"-",2,2,2,2,32,22,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","10__16794538__16796988",2
"chr15",41730560,41730629,"unknown_circ_007083",1,"+",1,1,1,1,44,136,"unknown",1,2,0,1,"GTAG","N/A","SHORT,WARN_EXT_2MM+","N/A","0","15__41730561__41730629",1
"chr8",25101189,25136181,"unknown_circ_009769",1,"+",1,2,2,1,8,18,"unknown",1,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS,SUPPORT_CLOSURE","2,1","8__25101190__25136181",1
"chr7",91924202,91948826,"unknown_circ_002589",3,"+",4,4,4,4,124,122,"unknown",4,0,0,1,"GTAG","N/A","","N/A","0","7__91924203__91948826",3
"chr6",73590599,73606865,"unknown_circ_010632",1,"+",1,1,1,1,102,28,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","6__73590600__73606865",1
"chr17",74283272,74300606,"unknown_circ_021387",1,"-",1,1,1,1,50,84,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__74283273__74300606",1
"chr7",140884469,140912504,"unknown_circ_009337",2,"+",2,2,1,2,12,116,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","7__140884470__140912504",2
"chr7",39701632,39701753,"unknown_circ_021177",1,"-",1,1,1,1,16,84,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","7__39701633__39701753",1
"chr6",83728691,83748204,"unknown_circ_011958",1,"-",2,2,2,2,50,98,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","6__83728692__83748204",1
"chr5",137893090,137903411,"unknown_circ_012588",1,"-",1,1,1,1,38,14,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__137893091__137903411",1
"chr16",72984367,72994093,"unknown_circ_003477",4,"-",6,6,6,6,126,108,"unknown",6,0,0,1,"GTAG","N/A","","N/A","0","16__72984368__72994093",4
"chr1",227218108,227223308,"unknown_circ_011012",1,"-",1.5,2,2,1.5,96,92,"unknown",1.5,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","1","1__227218109__227223308",1
"chr19",19584841,19603521,"unknown_circ_003995",1,"+",1,1,1,1,88,20,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","19__19584842__19603521",1
"chr4",6925099,6969151,"unknown_circ_001447",13,"+",16,16,14,16,112,130,"unknown",16,0,0,1,"GTAG","N/A","","N/A","0","4__6925100__6969151",13
"chr9",134305480,134346370,"unknown_circ_015200",1,"+",1,1,1,1,118,18,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","9__134305481__134346370",1
"chr9",111795586,111812972,"unknown_circ_015301",1,"-",1,1,1,1,16,116,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","9__111795587__111812972",1
"chr17",74734363,74740719,"unknown_circ_006704",1,"+",2,2,2,2,118,86,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","17__74734364__74740719",1
"chr13",77700452,77714298,"unknown_circ_021945",1,"-",1,1,1,1,106,30,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","13__77700453__77714298",1
"chr10",21962278,22002879,"unknown_circ_004051",1,"+",1,1,1,1,34,100,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","10__21962279__22002879",1
"chr6",82900789,82914675,"unknown_circ_011683",2,"-",2,2,1,2,24,92,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","6__82900790__82914675",2
"chr1",240286587,240555862,"unknown_circ_013612",1,"+",1,1,1,1,18,70,"unknown",1,0,0,1,"GTAG","N/A","HUGE","N/A","0","1__240286588__240555862",1
"chr3",47752172,47770584,"unknown_circ_011395",2,"-",3,3,3,3,108,84,"unknown",3,0,0,1,"GTAG","N/A","","N/A","0","3__47752173__47770584",2
"chr1",38168923,38171239,"unknown_circ_003427",1,"+",2,2,2,2,116,30,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__38168924__38171239",1
"chr1",82302689,82456131,"unknown_circ_006531",2,"+",2,2,2,2,76,38,"unknown",2,0,0,1,"GTAG","N/A","HUGE","N/A","0","1__82302690__82456131",2
"chr3",132431969,132435753,"unknown_circ_009281",1,"-",1,1,1,1,76,46,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","3__132431970__132435753",1
"chr1",233395055,233395090,"unknown_circ_004692",1,"-",0.5,1,1,0.5,50,18,"unknown",0.5,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_WARN","WARN_OUTSIDE_SPLICE_JUNCTION","1","1__233395056__233395090",1
"chr5",137765514,137767248,"unknown_circ_014195",1,"+",2,2,2,2,122,100,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","5__137765515__137767248",1
"chr1",40539816,40542529,"unknown_circ_011901",1,"+",0.333333333333,1,1,0.333333333333,38,14,"unknown",0.333333333333,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","SUPPORT_INSIDE_SPLICE_JUNCTION","1","1__40539817__40542529",1
"chr7",127341759,127341906,"unknown_circ_016195",1,"+",1,1,1,1,52,66,"unknown",1,2,0,1,"GTAG","N/A","WARN_EXT_2MM+","N/A","0","7__127341760__127341906",1
"chr11",108168013,108175579,"unknown_circ_011392",1,"+",1,1,1,1,22,110,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__108168014__108175579",1
"chr20",5939173,5944005,"unknown_circ_021938",1,"+",1,1,1,1,122,8,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","20__5939174__5944005",1
"chr5",70798425,70800578,"unknown_circ_004102",1,"+",1,1,1,1,104,26,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__70798426__70800578",1
"chr10",103869181,103869738,"unknown_circ_014047",1,"+",1,1,1,1,12,104,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","10__103869182__103869738",1
"chr19",38134165,38138800,"unknown_circ_003010",1,"-",1,1,1,1,58,60,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","19__38134166__38138800",1
"chr17",41242960,41247939,"unknown_circ_011344",1,"-",1,1,1,1,100,30,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","17__41242961__41247939",1
"chr3",121563299,121591635,"unknown_circ_022206",1,"+",1,1,1,1,104,24,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","3__121563300__121591635",1
"chr16",23543977,23563625,"unknown_circ_011242",1,"-",1,1,1,1,12,126,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__23543978__23563625",1
"chr7",150069080,150069248,"unknown_circ_003688",2,"-",2,2,2,2,92,76,"unknown",2,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","7__150069081__150069248",2
"chr11",61048095,61053902,"unknown_circ_022871",1,"-",1,1,1,1,46,88,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__61048096__61053902",1
"chr15",76152218,76165909,"unknown_circ_002661",3,"+",3,3,2,3,26,22,"unknown",3,0,0,1,"GTAG","N/A","","N/A","0","15__76152219__76165909",3
"chr19",11759172,11765226,"unknown_circ_021461",1,"+",1,1,1,1,28,90,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","19__11759173__11765226",1
"chr10",76598440,76603236,"unknown_circ_010058",5,"+",5,5,5,5,112,136,"unknown",5,0,0,1,"GTAG","N/A","","N/A","0","10__76598441__76603236",5
"chr2",219103386,219110269,"unknown_circ_015754",1,"+",1,1,1,1,108,16,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","2__219103387__219110269",1
"chr18",19034394,19034484,"unknown_circ_011221",1,"+",1,1,1,1,24,120,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","18__19034395__19034484",1
"chr5",80071512,80109560,"unknown_circ_001626",1,"+",1,1,1,1,74,54,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__80071513__80109560",1
"chr18",1113005,46479264,"unknown_circ_020692",1,"+",1,1,1,1,4,2,"unknown",1,2,2,1,"GTAG","N/A","HUGE,WARN_ALWAYS_BROKEN,WARN_EXT_2MM+","BROKEN_SEGMENTS","1","18__1113006__46479264",1
"chr8",17053012,17067567,"unknown_circ_020456",1,"+",1,1,1,1,108,18,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","8__17053013__17067567",1
"chr6",76331247,76344527,"unknown_circ_009204",2,"+",4,4,2,4,34,74,"unknown",4,0,0,1,"GTAG","N/A","","N/A","0","6__76331248__76344527",2
"chr19",1945274,1945310,"unknown_circ_015537",1,"+",2,2,2,2,72,130,"unknown",2,1,0,1,"GTAG","N/A","SHORT,WARN_EXT_1MM","N/A","0","19__1945275__1945310",1
"chr7",5680784,5681007,"unknown_circ_006680",1,"-",1,1,1,1,124,4,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","7__5680785__5681007",1
"chr15",42930897,42944790,"unknown_circ_003178",1,"+",2,2,2,2,36,68,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","15__42930898__42944790",1
"chr19",47111122,47111397,"unknown_circ_004795",1,"+",0.5,1,1,0.5,58,10,"unknown",0.5,0,0,1,"GTAG","N/A","WARN_ALWAYS_WARN","WARN_UNRESOLVED_LINSPLICE","1","19__47111123__47111397",1
"chr1",52798439,52803606,"unknown_circ_014393",1,"+",2,2,2,2,26,62,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__52798440__52803606",1
"chr11",47769057,47772842,"unknown_circ_010618",1,"-",1,1,1,1,18,78,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__47769058__47772842",1
"chr16",31100153,31100210,"unknown_circ_016778",1,"-",1,1,1,1,56,56,"unknown",1,1,0,1,"GTAG","N/A","SHORT,WARN_EXT_1MM","N/A","0","16__31100154__31100210",1
"chr2",216861028,216867246,"unknown_circ_012473",1,"-",2,2,2,2,88,64,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","2__216861029__216867246",1
"chr15",50763829,50776558,"unknown_circ_003882",1,"+",2,2,2,2,96,4,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","15__50763830__50776558",1
"chr2",176983806,176983848,"unknown_circ_009223",1,"-",2,2,2,2,36,144,"unknown",2,0,0,1,"GTAG","N/A","SHORT,WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","2__176983807__176983848",1
"chr9",110068798,110068846,"unknown_circ_009275",1,"-",1,1,1,1,64,116,"unknown",1,0,0,1,"GTAG","N/A","SHORT","N/A","0","9__110068799__110068846",1
"chr2",215657020,215661841,"unknown_circ_008924",5,"-",4,5,4,4,82,80,"unknown",4,0,0,1,"GTAG","N/A","","SUPPORT_INSIDE_SPLICE_JUNCTION","2","2__215657021__215661841",5
"chr8",141407718,141415797,"unknown_circ_001341",9,"-",10,10,9,10,102,130,"unknown",10,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","8__141407719__141415797",9
"chr19",4839365,4839404,"unknown_circ_001850",3,"+",5,5,4,5,156,60,"unknown",5,0,0,1,"GTAG","N/A","SHORT","N/A","0","19__4839366__4839404",3
"chr17",20107645,20130933,"unknown_circ_008624",2,"+",2,2,1,2,38,90,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","17__20107646__20130933",2
"chr1",236369985,236399135,"unknown_circ_000588",1,"-",0.5,1,1,0.5,4,64,"unknown",0.5,0,0,1,"GTAG","N/A","WARN_ALWAYS_WARN","WARN_UNRESOLVED_LINSPLICE","1","1__236369986__236399135",1
"chr1",155691307,155695810,"unknown_circ_005946",7,"+",12,12,11,12,66,42,"unknown",12,0,0,1,"GTAG","N/A","WARN_ALWAYS_BROKEN","BROKEN_SEGMENTS","2","1__155691308__155695810",7
"chr5",614584,655699,"unknown_circ_014698",2,"+",2,2,2,2,38,60,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","5__614585__655699",2
"chr1",76211490,76216231,"unknown_circ_008429",1,"+",2,2,1,2,26,114,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","1__76211491__76216231",1
"chr12",32866142,32875567,"unknown_circ_011228",1,"+",1,1,1,1,112,20,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","12__32866143__32875567",1
"chr16",74694829,74695349,"unknown_circ_019728",1,"-",1,1,1,1,4,128,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","16__74694830__74695349",1
"chr6",5396865,5404934,"unknown_circ_017566",1,"+",1,1,1,1,34,98,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","6__5396866__5404934",1
"chr4",139964227,139964497,"unknown_circ_021550",1,"+",1,1,1,1,116,6,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","4__139964228__139964497",1
"chr5",95091099,95119667,"unknown_circ_002455",1,"+",1,1,1,1,58,74,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","5__95091100__95119667",1
"chr11",63586273,63586474,"unknown_circ_012701",1,"+",1,1,1,1,96,36,"unknown",1,0,0,1,"GTAG","N/A","","N/A","0","11__63586274__63586474",1
"chr18",67721366,67733158,"unknown_circ_009205",1,"-",1,1,1,1,32,98,"unknown",1,1,0,1,"GTAG","N/A","WARN_EXT_1MM","N/A","0","18__67721367__67733158",1
"chr2",157296716,157305790,"unknown_circ_010585",1,"+",2,2,2,2,126,106,"unknown",2,0,0,1,"GTAG","N/A","","N/A","0","2__157296717__157305790",1
